lag,std,r2
10,10,0.299366
10,20,0.412575
10,30,0.484549
10,40,0.539995
10,50,0.585755
10,60,0.624234
10,70,0.656866
10,80,0.684857
10,90,0.709219
10,100,0.730715
10,110,0.749903
10,120,0.767145
10,130,0.782703
10,140,0.796799
10,150,0.809625
10,160,0.821352
10,170,0.832118
10,180,0.842059
10,190,0.851268
10,200,0.859821
10,210,0.867775
10,220,0.875205
10,230,0.882170
10,240,0.888690
10,250,0.894806
10,260,0.900544
10,270,0.905916
10,280,0.910937
10,290,0.915615
10,300,0.919963
10,310,0.923995
10,320,0.927725
10,330,0.931149
10,340,0.934286
10,350,0.937147
10,360,0.939730
10,370,0.942053
10,380,0.944124
10,390,0.945970
10,400,0.947590
20,10,0.304056
20,20,0.417764
20,30,0.489763
20,40,0.545144
20,50,0.590790
20,60,0.629116
20,70,0.661576
20,80,0.689390
20,90,0.713575
20,100,0.734901
20,110,0.753926
20,120,0.771016
20,130,0.786434
20,140,0.800403
20,150,0.813112
20,160,0.824731
20,170,0.835395
20,180,0.845240
20,190,0.854357
20,200,0.862821
20,210,0.870690
20,220,0.878036
20,230,0.884919
20,240,0.891359
20,250,0.897396
20,260,0.903058
20,270,0.908354
20,280,0.913303
20,290,0.917910
20,300,0.922190
20,310,0.926156
20,320,0.929823
20,330,0.933185
20,340,0.936263
20,350,0.939065
20,360,0.941592
20,370,0.943860
20,380,0.945876
20,390,0.947668
20,400,0.949233
30,10,0.308765
30,20,0.422955
30,30,0.494965
30,40,0.550269
30,50,0.595789
30,60,0.633955
30,70,0.666236
30,80,0.693866
30,90,0.717871
30,100,0.739022
30,110,0.757882
30,120,0.774818
30,130,0.790094
30,140,0.803932
30,150,0.816522
30,160,0.828031
30,170,0.838592
30,180,0.848340
30,190,0.857364
30,200,0.865738
30,210,0.873521
30,220,0.880783
30,230,0.887584
30,240,0.893944
30,250,0.899903
30,260,0.905489
30,270,0.910712
30,280,0.915589
30,290,0.920127
30,300,0.924340
30,310,0.928242
30,320,0.931845
30,330,0.935147
30,340,0.938166
30,350,0.940911
30,360,0.943383
30,370,0.945596
30,380,0.947559
30,390,0.949296
30,400,0.950808
40,10,0.313488
40,20,0.428142
40,30,0.500151
40,40,0.555366
40,50,0.600751
40,60,0.638747
40,70,0.670842
40,80,0.698284
40,90,0.722104
40,100,0.743078
40,110,0.761770
40,120,0.778548
40,130,0.793680
40,140,0.807387
40,150,0.819856
40,160,0.831252
40,170,0.841709
40,180,0.851359
40,190,0.860288
40,200,0.868573
40,210,0.876269
40,220,0.883447
40,230,0.890166
40,240,0.896446
40,250,0.902329
40,260,0.907839
40,270,0.912989
40,280,0.917795
40,290,0.922265
40,300,0.926413
40,310,0.930251
40,320,0.933792
40,330,0.937034
40,340,0.939996
40,350,0.942685
40,360,0.945102
40,370,0.947262
40,380,0.949172
40,390,0.950857
40,400,0.952315
50,10,0.318223
50,20,0.433325
50,30,0.505319
50,40,0.560434
50,50,0.605673
50,60,0.643492
50,70,0.675394
50,80,0.702643
50,90,0.726274
50,100,0.747067
50,110,0.765588
50,120,0.782207
50,130,0.797193
50,140,0.810766
50,150,0.823112
50,160,0.834395
50,170,0.844747
50,180,0.854296
50,190,0.863131
50,200,0.871324
50,210,0.878933
50,220,0.886028
50,230,0.892665
50,240,0.898866
50,250,0.904672
50,260,0.910108
50,270,0.915186
50,280,0.919922
50,290,0.924326
50,300,0.928409
50,310,0.932184
50,320,0.935665
50,330,0.938849
50,340,0.941754
50,350,0.944388
50,360,0.946751
50,370,0.948858
50,380,0.950716
50,390,0.952349
50,400,0.953756
60,10,0.322967
60,20,0.438499
60,30,0.510465
60,40,0.565471
60,50,0.610554
60,60,0.648187
60,70,0.679891
60,80,0.706941
60,90,0.730379
60,100,0.750988
60,110,0.769336
60,120,0.785794
60,130,0.800632
60,140,0.814070
60,150,0.826291
60,160,0.837459
60,170,0.847704
60,180,0.857152
60,190,0.865891
60,200,0.873993
60,210,0.881515
60,220,0.888525
60,230,0.895081
60,240,0.901204
60,250,0.906934
60,260,0.912296
60,270,0.917303
60,280,0.921971
60,290,0.926309
60,300,0.930328
60,310,0.934043
60,320,0.937464
60,330,0.940590
60,340,0.943439
60,350,0.946020
60,360,0.948330
60,370,0.950386
60,380,0.952192
60,390,0.953775
60,400,0.955131
70,10,0.327716
70,20,0.443661
70,30,0.515589
70,40,0.570474
70,50,0.615392
70,60,0.652831
70,70,0.684330
70,80,0.711176
70,90,0.734419
70,100,0.754841
70,110,0.773013
70,120,0.789308
70,130,0.803996
70,140,0.817297
70,150,0.829393
70,160,0.840444
70,170,0.850580
70,180,0.859927
70,190,0.868569
70,200,0.876580
70,210,0.884014
70,220,0.890941
70,230,0.897415
70,240,0.903460
70,250,0.909115
70,260,0.914405
70,270,0.919342
70,280,0.923943
70,290,0.928216
70,300,0.932172
70,310,0.935827
70,320,0.939190
70,330,0.942260
70,340,0.945054
70,350,0.947581
70,360,0.949840
70,370,0.951845
70,380,0.953602
70,390,0.955134
70,400,0.956440
80,10,0.332465
80,20,0.448807
80,30,0.520685
80,40,0.575440
80,50,0.620185
80,60,0.657422
80,70,0.688710
80,80,0.715349
80,90,0.738392
80,100,0.758625
80,110,0.776619
80,120,0.792749
80,130,0.807286
80,140,0.820448
80,150,0.832416
80,160,0.843351
80,170,0.853377
80,180,0.862622
80,190,0.871166
80,200,0.879085
80,210,0.886431
80,220,0.893274
80,230,0.899668
80,240,0.905636
80,250,0.911216
80,260,0.916434
80,270,0.921302
80,280,0.925837
80,290,0.930047
80,300,0.933942
80,310,0.937537
80,320,0.940844
80,330,0.943858
80,340,0.946599
80,350,0.949073
80,360,0.951281
80,370,0.953236
80,380,0.954944
80,390,0.956428
80,400,0.957686
90,10,0.337210
90,20,0.453934
90,30,0.525752
90,40,0.580368
90,50,0.624930
90,60,0.661959
90,70,0.693029
90,80,0.719456
90,90,0.742297
90,100,0.762338
90,110,0.780153
90,120,0.796116
90,130,0.810500
90,140,0.823523
90,150,0.835363
90,160,0.846178
90,170,0.856095
90,180,0.865236
90,190,0.873683
90,200,0.881509
90,210,0.888768
90,220,0.895527
90,230,0.901841
90,240,0.907731
90,250,0.913238
90,260,0.918386
90,270,0.923186
90,280,0.927656
90,290,0.931803
90,300,0.935638
90,310,0.939176
90,320,0.942426
90,330,0.945386
90,340,0.948073
90,350,0.950496
90,360,0.952654
90,370,0.954560
90,380,0.956221
90,390,0.957657
90,400,0.958868
100,10,0.341948
100,20,0.459038
100,30,0.530787
100,40,0.585254
100,50,0.629625
100,60,0.666438
100,70,0.697287
100,80,0.723498
100,90,0.746133
100,100,0.765981
100,110,0.783615
100,120,0.799410
100,130,0.813640
100,140,0.826522
100,150,0.838232
100,160,0.848928
100,170,0.858734
100,180,0.867770
100,190,0.876119
100,200,0.883852
100,210,0.891024
100,220,0.897700
100,230,0.903934
100,240,0.909748
100,250,0.915183
100,260,0.920260
100,270,0.924994
100,280,0.929399
100,290,0.933485
100,300,0.937261
100,310,0.940742
100,320,0.943937
100,330,0.946844
100,340,0.949480
100,350,0.951852
100,360,0.953961
100,370,0.955819
100,380,0.957433
100,390,0.958822
100,400,0.959987
110,10,0.346676
110,20,0.464117
110,30,0.535785
110,40,0.590096
110,50,0.634269
110,60,0.670860
110,70,0.701481
110,80,0.727473
110,90,0.749900
110,100,0.769552
110,110,0.787003
110,120,0.802629
110,130,0.816704
110,140,0.829445
110,150,0.841024
110,160,0.851600
110,170,0.861294
110,180,0.870226
110,190,0.878476
110,200,0.886117
110,210,0.893201
110,220,0.899794
110,230,0.905949
110,240,0.911688
110,250,0.917051
110,260,0.922059
110,270,0.926727
110,280,0.931069
110,290,0.935095
110,300,0.938813
110,310,0.942238
110,320,0.945379
110,330,0.948233
110,340,0.950818
110,350,0.953141
110,360,0.955202
110,370,0.957013
110,380,0.958581
110,390,0.959925
110,400,0.961045
120,10,0.351389
120,20,0.469166
120,30,0.540745
120,40,0.594890
120,50,0.638857
120,60,0.675220
120,70,0.705610
120,80,0.731379
120,90,0.753596
120,100,0.773051
120,110,0.790319
120,120,0.805775
120,130,0.819694
120,140,0.832292
120,150,0.843740
120,160,0.854195
120,170,0.863777
120,180,0.872604
120,190,0.880755
120,200,0.888303
120,210,0.895300
120,220,0.901811
120,230,0.907887
120,240,0.913551
120,250,0.918843
120,260,0.923784
120,270,0.928386
120,280,0.932667
120,290,0.936634
120,300,0.940295
120,310,0.943665
120,320,0.946753
120,330,0.949555
120,340,0.952091
120,350,0.954365
120,360,0.956378
120,370,0.958144
120,380,0.959666
120,390,0.960966
120,400,0.962043
130,10,0.356083
130,20,0.474181
130,30,0.545662
130,40,0.599634
130,50,0.643388
130,60,0.679517
130,70,0.709672
130,80,0.735216
130,90,0.757221
130,100,0.776478
130,110,0.793562
130,120,0.808847
130,130,0.822609
130,140,0.835064
130,150,0.846380
130,160,0.856713
130,170,0.866183
130,180,0.874905
130,190,0.882957
130,200,0.890412
130,210,0.897323
130,220,0.903751
130,230,0.909749
130,240,0.915339
130,250,0.920561
130,260,0.925435
130,270,0.929974
130,280,0.934193
130,290,0.938102
130,300,0.941707
130,310,0.945024
130,320,0.948059
130,330,0.950811
130,340,0.953297
130,350,0.955524
130,360,0.957491
130,370,0.959211
130,380,0.960690
130,390,0.961947
130,400,0.962981
140,10,0.360751
140,20,0.479156
140,30,0.550531
140,40,0.604323
140,50,0.647858
140,60,0.683749
140,70,0.713665
140,80,0.738982
140,90,0.760774
140,100,0.779832
140,110,0.796731
140,120,0.811845
140,130,0.825450
140,140,0.837761
140,150,0.848945
140,160,0.859157
140,170,0.868513
140,180,0.877130
140,190,0.885084
140,200,0.892446
140,210,0.899270
140,220,0.905616
140,230,0.911537
140,240,0.917054
140,250,0.922207
140,260,0.927015
140,270,0.931491
140,280,0.935650
140,290,0.939502
140,300,0.943052
140,310,0.946315
140,320,0.949300
140,330,0.952002
140,340,0.954440
140,350,0.956619
140,360,0.958542
140,370,0.960217
140,380,0.961653
140,390,0.962868
140,400,0.963861
150,10,0.365386
150,20,0.484086
150,30,0.555348
150,40,0.608954
150,50,0.652264
150,60,0.687913
150,70,0.717588
150,80,0.742676
150,90,0.764253
150,100,0.783113
150,110,0.799827
150,120,0.814769
150,130,0.828217
150,140,0.840384
150,150,0.851436
150,160,0.861525
150,170,0.870769
150,180,0.879280
150,190,0.887135
150,200,0.894405
150,210,0.901143
150,220,0.907409
150,230,0.913252
150,240,0.918698
150,250,0.923781
150,260,0.928524
150,270,0.932939
150,280,0.937039
150,290,0.940834
150,300,0.944330
150,310,0.947542
150,320,0.950476
150,330,0.953129
150,340,0.955520
150,350,0.957653
150,360,0.959531
150,370,0.961163
150,380,0.962557
150,390,0.963730
150,400,0.964683
160,10,0.369981
160,20,0.488965
160,30,0.560109
160,40,0.613523
160,50,0.656603
160,60,0.692006
160,70,0.721438
160,80,0.746296
160,90,0.767659
160,100,0.786320
160,110,0.802848
160,120,0.817620
160,130,0.830911
160,140,0.842933
160,150,0.853852
160,160,0.863820
160,170,0.872950
160,180,0.881356
160,190,0.889113
160,200,0.896292
160,210,0.902943
160,220,0.909129
160,230,0.914897
160,240,0.920270
160,250,0.925287
160,260,0.929966
160,270,0.934319
160,280,0.938361
160,290,0.942101
160,300,0.945544
160,310,0.948704
160,320,0.951589
160,330,0.954194
160,340,0.956538
160,350,0.958626
160,360,0.960460
160,370,0.962050
160,380,0.963403
160,390,0.964536
160,400,0.965451
170,10,0.374531
170,20,0.493787
170,30,0.564807
170,40,0.618024
170,50,0.660871
170,60,0.696025
170,70,0.725213
170,80,0.749841
170,90,0.770990
170,100,0.789452
170,110,0.805796
170,120,0.820397
170,130,0.833531
170,140,0.845409
170,150,0.856196
170,160,0.866042
170,170,0.875060
170,180,0.883361
170,190,0.891020
170,200,0.898107
170,210,0.904673
170,220,0.910779
170,230,0.916472
170,240,0.921775
170,250,0.926725
170,260,0.931340
170,270,0.935634
170,280,0.939619
170,290,0.943304
170,300,0.946694
170,310,0.949804
170,320,0.952640
170,330,0.955198
170,340,0.957496
170,350,0.959540
170,360,0.961331
170,370,0.962879
170,380,0.964192
170,390,0.965287
170,400,0.966163
180,10,0.379030
180,20,0.498546
180,30,0.569437
180,40,0.622455
180,50,0.665065
180,60,0.699968
180,70,0.728911
180,80,0.753309
180,90,0.774245
180,100,0.792509
180,110,0.808669
180,120,0.823100
180,130,0.836078
180,140,0.847813
180,150,0.858468
180,160,0.868192
180,170,0.877098
180,180,0.885294
180,190,0.892856
180,200,0.899852
180,210,0.906334
180,220,0.912361
180,230,0.917979
180,240,0.923213
180,250,0.928097
180,260,0.932650
180,270,0.936884
180,280,0.940813
180,290,0.944444
180,300,0.947783
180,310,0.950843
180,320,0.953631
180,330,0.956142
180,340,0.958395
180,350,0.960395
180,360,0.962144
180,370,0.963652
180,380,0.964926
180,390,0.965983
180,400,0.966823
190,10,0.383472
190,20,0.503237
190,30,0.573995
190,40,0.626809
190,50,0.669180
190,60,0.703832
190,70,0.732530
190,80,0.756699
190,90,0.777423
190,100,0.795491
190,110,0.811469
190,120,0.825730
190,130,0.838552
190,140,0.850145
190,150,0.860668
190,160,0.870271
190,170,0.879065
190,180,0.887158
190,190,0.894623
190,200,0.901529
190,210,0.907927
190,220,0.913876
190,230,0.919421
190,240,0.924585
190,250,0.929404
190,260,0.933896
190,270,0.938072
190,280,0.941945
190,290,0.945523
190,300,0.948811
190,310,0.951823
190,320,0.954563
190,330,0.957029
190,340,0.959237
190,350,0.961194
190,360,0.962902
190,370,0.964370
190,380,0.965606
190,390,0.966626
190,400,0.967431
200,10,0.387852
200,20,0.507854
200,30,0.578475
200,40,0.631084
200,50,0.673214
200,60,0.707615
200,70,0.736069
200,80,0.760010
200,90,0.780524
200,100,0.798396
200,110,0.814193
200,120,0.828287
200,130,0.840955
200,140,0.852405
200,150,0.862798
200,160,0.872281
200,170,0.880964
200,180,0.888954
200,190,0.896322
200,200,0.903139
200,210,0.909455
200,220,0.915326
200,230,0.920798
200,240,0.925895
200,250,0.930650
200,260,0.935081
200,270,0.939199
200,280,0.943018
200,290,0.946544
200,300,0.949781
200,310,0.952745
200,320,0.955438
200,330,0.957859
200,340,0.960024
200,350,0.961938
200,360,0.963606
200,370,0.965035
200,380,0.966234
200,390,0.967218
200,400,0.967989
210,10,0.392165
210,20,0.512391
210,30,0.582873
210,40,0.635274
210,50,0.677163
210,60,0.711312
210,70,0.739524
210,80,0.763240
210,90,0.783545
210,100,0.801225
